record_id,status,QTP,QFN,QFP,qrs_se_percent,qrs_plus_p_percent,float_QTP,float_QFN,float_QFP,float_qrs_se_percent,float_qrs_plus_p_percent,fixed_QTP,fixed_QFN,fixed_QFP,fixed_qrs_se_percent,fixed_qrs_plus_p_percent,reference_count,float_output_count,fixed_output_count,max_mapping_error_ms,float_fixed_mismatch_count
data/20,evaluated,8,0,2,100.0,80.0,8,0,3,100.0,72.72727272727273,8,0,2,100.0,80.0,8,11,10,2.000000000000224,7
data/21,evaluated,10,0,2,100.0,83.33333333333334,10,0,5,100.0,66.66666666666666,10,0,2,100.0,83.33333333333334,10,15,12,2.000000000000668,14
data/22,evaluated,11,0,1,100.0,91.66666666666666,11,0,2,100.0,84.61538461538461,11,0,1,100.0,91.66666666666666,11,13,12,2.000000000000668,13
data/23,evaluated,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,10,10,2.000000000000224,4
data/24,evaluated,7,0,5,100.0,58.333333333333336,7,0,11,100.0,38.88888888888889,7,0,5,100.0,58.333333333333336,7,18,12,2.000000000000668,18
data/25,evaluated,7,0,2,100.0,77.77777777777779,7,0,3,100.0,70.0,7,0,2,100.0,77.77777777777779,7,10,9,2.000000000000224,10
data/26,evaluated,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,10,10,2.0000000000000018,2
data/27,evaluated,7,0,2,100.0,77.77777777777779,7,0,2,100.0,77.77777777777779,7,0,2,100.0,77.77777777777779,7,9,9,2.000000000000668,1
data/28,evaluated,8,0,2,100.0,80.0,8,0,3,100.0,72.72727272727273,8,0,2,100.0,80.0,8,11,10,1.9999999999997797,9
data/29,evaluated,9,0,1,100.0,90.0,9,0,2,100.0,81.81818181818183,9,0,1,100.0,90.0,9,11,10,1.9999999999997797,11
data/30,evaluated,7,0,1,100.0,87.5,7,0,3,100.0,70.0,7,0,1,100.0,87.5,7,10,8,1.9999999999997797,10
data/31,evaluated,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,11,11,2.000000000000224,0
data/32,evaluated,9,0,1,100.0,90.0,9,0,2,100.0,81.81818181818183,9,0,1,100.0,90.0,9,11,10,2.000000000000668,1
data/33,evaluated,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,10,10,2.000000000000668,0
data/34,evaluated,8,0,2,100.0,80.0,8,0,10,100.0,44.44444444444444,8,0,2,100.0,80.0,8,18,10,2.000000000000668,18
data/35,evaluated,20,0,2,100.0,90.9090909090909,19,1,3,95.0,86.36363636363636,20,0,2,100.0,90.9090909090909,20,22,22,2.0000000000000018,16
data/36,evaluated,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,10,10,0.9999999999998899,8
data/37,evaluated,10,0,1,100.0,90.9090909090909,10,0,2,100.0,83.33333333333334,10,0,1,100.0,90.9090909090909,10,12,11,2.000000000000668,12
data/38,evaluated,16,0,1,100.0,94.11764705882352,16,0,1,100.0,94.11764705882352,16,0,1,100.0,94.11764705882352,16,17,17,2.000000000000668,1
data/39,evaluated,7,0,1,100.0,87.5,7,0,2,100.0,77.77777777777779,7,0,1,100.0,87.5,7,9,8,2.000000000000224,1
data/40,evaluated,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,11,11,1.9999999999997797,0
data/41,evaluated,6,0,1,100.0,85.71428571428571,6,0,2,100.0,75.0,6,0,1,100.0,85.71428571428571,6,8,7,1.9999999999997797,8
data/42,evaluated,8,0,1,100.0,88.88888888888889,8,0,2,100.0,80.0,8,0,1,100.0,88.88888888888889,8,10,9,2.0000000000000018,10
data/43,evaluated,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,10,10,2.000000000000668,1
data/44,evaluated,9,0,2,100.0,81.81818181818183,9,0,14,100.0,39.130434782608695,9,0,2,100.0,81.81818181818183,9,23,11,2.0000000000000018,23
data/45,evaluated,8,0,2,100.0,80.0,8,0,20,100.0,28.57142857142857,8,0,2,100.0,80.0,8,28,10,2.000000000000224,28
data/46,evaluated,8,0,2,100.0,80.0,8,0,5,100.0,61.53846153846154,8,0,2,100.0,80.0,8,13,10,2.000000000000668,13
data/47,evaluated,6,0,2,100.0,75.0,6,0,2,100.0,75.0,6,0,2,100.0,75.0,6,8,8,2.000000000000668,0
data/48,evaluated,7,0,2,100.0,77.77777777777779,7,0,3,100.0,70.0,7,0,2,100.0,77.77777777777779,7,10,9,1.9999999999988916,10
data/49,evaluated,7,0,2,100.0,77.77777777777779,7,0,2,100.0,77.77777777777779,7,0,2,100.0,77.77777777777779,7,9,9,2.000000000000668,0
data/50,evaluated,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,11,11,2.000000000000224,1
data/51,evaluated,8,0,3,100.0,72.72727272727273,8,0,13,100.0,38.095238095238095,8,0,3,100.0,72.72727272727273,8,21,11,1.9999999999997797,21
data/52,evaluated,9,0,1,100.0,90.0,9,0,3,100.0,75.0,9,0,1,100.0,90.0,9,12,10,2.0000000000000018,12
data/53,evaluated,9,0,1,100.0,90.0,9,0,2,100.0,81.81818181818183,9,0,1,100.0,90.0,9,11,10,2.000000000000668,11
data/54,evaluated,7,0,1,100.0,87.5,7,0,2,100.0,77.77777777777779,7,0,1,100.0,87.5,7,9,8,1.9999999999997797,9
data/55,evaluated,8,0,2,100.0,80.0,8,0,3,100.0,72.72727272727273,8,0,2,100.0,80.0,8,11,10,1.9999999999997797,11
data/56,evaluated,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,12,12,1.9999999999997797,0
data/57,evaluated,12,0,1,100.0,92.3076923076923,12,0,2,100.0,85.71428571428571,12,0,1,100.0,92.3076923076923,12,14,13,2.000000000000224,14
data/58,evaluated,9,0,1,100.0,90.0,9,0,2,100.0,81.81818181818183,9,0,1,100.0,90.0,9,11,10,2.000000000000668,1
data/59,evaluated,6,0,4,100.0,60.0,6,0,10,100.0,37.5,6,0,4,100.0,60.0,6,16,10,1.9999999999997797,15
data/60,evaluated,8,0,1,100.0,88.88888888888889,8,0,2,100.0,80.0,8,0,1,100.0,88.88888888888889,8,10,9,2.000000000000668,10
data/61,evaluated,8,0,2,100.0,80.0,8,0,3,100.0,72.72727272727273,8,0,2,100.0,80.0,8,11,10,1.9999999999997797,2
data/62,evaluated,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,11,11,2.0000000000000018,2
data/63,evaluated,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,12,12,2.000000000000668,0
data/64,evaluated,9,0,2,100.0,81.81818181818183,9,0,13,100.0,40.909090909090914,9,0,2,100.0,81.81818181818183,9,22,11,2.000000000000668,22
data/65,evaluated,12,0,2,100.0,85.71428571428571,12,0,2,100.0,85.71428571428571,12,0,2,100.0,85.71428571428571,12,14,14,1.9999999999997797,0
data/66,evaluated,6,0,2,100.0,75.0,6,0,3,100.0,66.66666666666666,6,0,2,100.0,75.0,6,9,8,2.0000000000000018,9
data/67,evaluated,7,0,2,100.0,77.77777777777779,7,0,2,100.0,77.77777777777779,7,0,2,100.0,77.77777777777779,7,9,9,1.9999999999997797,0
data/68,evaluated,9,0,1,100.0,90.0,9,0,2,100.0,81.81818181818183,9,0,1,100.0,90.0,9,11,10,2.0000000000000018,11
data/69,evaluated,11,0,1,100.0,91.66666666666666,11,0,3,100.0,78.57142857142857,11,0,1,100.0,91.66666666666666,11,14,12,2.000000000000668,14
data/70,evaluated,13,0,1,100.0,92.85714285714286,13,0,2,100.0,86.66666666666667,13,0,1,100.0,92.85714285714286,13,15,14,2.000000000000668,15
data/71,evaluated,8,0,1,100.0,88.88888888888889,8,0,2,100.0,80.0,8,0,1,100.0,88.88888888888889,8,10,9,2.000000000000224,10
data/72,evaluated,8,0,2,100.0,80.0,7,1,10,87.5,41.17647058823529,8,0,2,100.0,80.0,8,17,10,2.000000000000668,17
data/73,evaluated,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,10,10,2.000000000000668,0
data/74,evaluated,1,8,0,11.11111111111111,100.0,9,0,6,100.0,60.0,1,8,0,11.11111111111111,100.0,9,15,1,1.9999999999997797,15
data/75,evaluated,9,0,1,100.0,90.0,9,0,2,100.0,81.81818181818183,9,0,1,100.0,90.0,9,11,10,1.9999999999997797,11
data/76,evaluated,11,0,1,100.0,91.66666666666666,11,0,2,100.0,84.61538461538461,11,0,1,100.0,91.66666666666666,11,13,12,2.000000000000668,13
data/77,evaluated,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,12,12,1.9999999999997797,0
data/78,evaluated,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,10,10,1.9999999999997797,0
data/79,evaluated,8,0,1,100.0,88.88888888888889,8,0,2,100.0,80.0,8,0,1,100.0,88.88888888888889,8,10,9,2.000000000000668,10
data/80,evaluated,11,0,1,100.0,91.66666666666666,11,0,2,100.0,84.61538461538461,11,0,1,100.0,91.66666666666666,11,13,12,2.000000000000224,13
data/81,evaluated,11,0,1,100.0,91.66666666666666,11,0,2,100.0,84.61538461538461,11,0,1,100.0,91.66666666666666,11,13,12,2.000000000000668,13
data/82,evaluated,7,0,1,100.0,87.5,7,0,2,100.0,77.77777777777779,7,0,1,100.0,87.5,7,9,8,2.000000000000668,4
data/83,evaluated,10,0,2,100.0,83.33333333333334,10,0,7,100.0,58.82352941176471,10,0,2,100.0,83.33333333333334,10,17,12,1.9999999999997797,17
data/84,evaluated,8,0,2,100.0,80.0,8,0,4,100.0,66.66666666666666,8,0,2,100.0,80.0,8,12,10,2.0000000000000018,12
data/85,evaluated,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,12,12,1.9999999999988916,0
data/86,evaluated,12,0,2,100.0,85.71428571428571,12,0,3,100.0,80.0,12,0,2,100.0,85.71428571428571,12,15,14,2.000000000000224,15
data/87,evaluated,12,0,2,100.0,85.71428571428571,12,0,2,100.0,85.71428571428571,12,0,2,100.0,85.71428571428571,12,14,14,2.000000000000668,0
data/88,evaluated,12,0,2,100.0,85.71428571428571,12,0,3,100.0,80.0,12,0,2,100.0,85.71428571428571,12,15,14,2.000000000000224,15
data/89,evaluated,10,0,1,100.0,90.9090909090909,10,0,2,100.0,83.33333333333334,10,0,1,100.0,90.9090909090909,10,12,11,2.000000000000668,4
data/90,evaluated,8,0,2,100.0,80.0,8,0,12,100.0,40.0,8,0,2,100.0,80.0,8,20,10,2.000000000000668,20
data/91,evaluated,11,0,2,100.0,84.61538461538461,11,0,3,100.0,78.57142857142857,11,0,2,100.0,84.61538461538461,11,14,13,2.000000000000224,14
data/92,evaluated,14,0,1,100.0,93.33333333333333,14,0,2,100.0,87.5,14,0,1,100.0,93.33333333333333,14,16,15,1.9999999999988916,16
data/93,evaluated,8,0,2,100.0,80.0,8,0,9,100.0,47.05882352941176,8,0,2,100.0,80.0,8,17,10,2.000000000000224,17
data/94,evaluated,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,12,12,1.9999999999997797,0
data/95,evaluated,9,0,1,100.0,90.0,9,0,7,100.0,56.25,9,0,1,100.0,90.0,9,16,10,2.000000000000668,16
data/96,evaluated,12,0,2,100.0,85.71428571428571,12,0,4,100.0,75.0,12,0,2,100.0,85.71428571428571,12,16,14,2.0000000000000018,16
data/97,evaluated,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,10,10,1.9999999999997797,2
data/98,evaluated,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,10,10,2.000000000000668,0
data/99,evaluated,12,0,1,100.0,92.3076923076923,12,0,2,100.0,85.71428571428571,12,0,1,100.0,92.3076923076923,12,14,13,2.000000000000668,14
data/100,evaluated,9,0,2,100.0,81.81818181818183,9,0,3,100.0,75.0,9,0,2,100.0,81.81818181818183,9,12,11,2.000000000000668,12
data/101,evaluated,11,0,2,100.0,84.61538461538461,11,0,3,100.0,78.57142857142857,11,0,2,100.0,84.61538461538461,11,14,13,2.000000000000668,6
data/102,evaluated,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,11,11,1.9999999999997797,1
data/103,evaluated,14,0,4,100.0,77.77777777777779,14,0,14,100.0,50.0,14,0,4,100.0,77.77777777777779,14,28,18,1.9999999999997797,28
data/104,evaluated,9,0,2,100.0,81.81818181818183,9,0,9,100.0,50.0,9,0,2,100.0,81.81818181818183,9,18,11,2.0000000000000018,18
data/105,evaluated,11,0,1,100.0,91.66666666666666,11,0,3,100.0,78.57142857142857,11,0,1,100.0,91.66666666666666,11,14,12,2.000000000000668,14
data/106,evaluated,12,0,2,100.0,85.71428571428571,12,0,2,100.0,85.71428571428571,12,0,2,100.0,85.71428571428571,12,14,14,2.000000000000668,1
data/107,evaluated,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,10,10,2.000000000000668,0
data/108,evaluated,11,0,2,100.0,84.61538461538461,11,0,2,100.0,84.61538461538461,11,0,2,100.0,84.61538461538461,11,13,13,2.000000000000668,3
data/109,evaluated,15,0,0,100.0,100.0,15,0,2,100.0,88.23529411764706,15,0,0,100.0,100.0,15,17,15,2.000000000000668,17
data/110,evaluated,13,0,0,100.0,100.0,13,0,4,100.0,76.47058823529412,13,0,0,100.0,100.0,13,17,13,2.000000000000668,17
data/111,evaluated,8,0,3,100.0,72.72727272727273,8,0,13,100.0,38.095238095238095,8,0,3,100.0,72.72727272727273,8,21,11,1.9999999999997797,21
data/112,evaluated,14,0,0,100.0,100.0,14,0,2,100.0,87.5,14,0,0,100.0,100.0,14,16,14,2.0000000000000018,16
data/113,evaluated,8,0,2,100.0,80.0,8,0,3,100.0,72.72727272727273,8,0,2,100.0,80.0,8,11,10,1.000000000000334,11
data/114,evaluated,13,0,1,100.0,92.85714285714286,13,0,2,100.0,86.66666666666667,13,0,1,100.0,92.85714285714286,13,15,14,2.000000000000224,15
data/115,evaluated,7,0,2,100.0,77.77777777777779,7,0,3,100.0,70.0,7,0,2,100.0,77.77777777777779,7,10,9,2.0000000000000018,10
data/116,evaluated,13,0,1,100.0,92.85714285714286,13,0,17,100.0,43.333333333333336,13,0,1,100.0,92.85714285714286,13,30,14,2.0000000000000018,30
data/117,evaluated,13,0,2,100.0,86.66666666666667,13,0,2,100.0,86.66666666666667,13,0,2,100.0,86.66666666666667,13,15,15,2.000000000000668,0
data/118,evaluated,8,0,2,100.0,80.0,8,0,3,100.0,72.72727272727273,8,0,2,100.0,80.0,8,11,10,2.000000000000668,11
data/119,evaluated,8,0,2,100.0,80.0,8,0,3,100.0,72.72727272727273,8,0,2,100.0,80.0,8,11,10,2.000000000000668,11
data/120,evaluated,8,0,1,100.0,88.88888888888889,8,0,3,100.0,72.72727272727273,8,0,1,100.0,88.88888888888889,8,11,9,2.000000000000668,11
data/121,evaluated,15,0,0,100.0,100.0,15,0,13,100.0,53.57142857142857,15,0,0,100.0,100.0,15,28,15,2.000000000000668,28
data/122,evaluated,8,0,1,100.0,88.88888888888889,8,0,3,100.0,72.72727272727273,8,0,1,100.0,88.88888888888889,8,11,9,2.0000000000000018,11
data/123,evaluated,9,0,1,100.0,90.0,9,0,2,100.0,81.81818181818183,9,0,1,100.0,90.0,9,11,10,2.000000000000668,11
data/124,evaluated,7,0,2,100.0,77.77777777777779,7,0,3,100.0,70.0,7,0,2,100.0,77.77777777777779,7,10,9,2.000000000000224,10
data/125,evaluated,7,0,1,100.0,87.5,7,0,4,100.0,63.63636363636363,7,0,1,100.0,87.5,7,11,8,2.000000000000224,11
data/126,evaluated,9,0,2,100.0,81.81818181818183,9,0,5,100.0,64.28571428571429,9,0,2,100.0,81.81818181818183,9,14,11,2.000000000000224,14
data/127,evaluated,4,0,2,100.0,66.66666666666666,4,0,5,100.0,44.44444444444444,4,0,2,100.0,66.66666666666666,4,9,6,1.9999999999997797,9
data/128,evaluated,7,0,2,100.0,77.77777777777779,7,0,3,100.0,70.0,7,0,2,100.0,77.77777777777779,7,10,9,1.9999999999997797,10
data/129,evaluated,8,0,1,100.0,88.88888888888889,8,0,3,100.0,72.72727272727273,8,0,1,100.0,88.88888888888889,8,11,9,2.000000000000668,11
data/130,evaluated,7,0,2,100.0,77.77777777777779,7,0,4,100.0,63.63636363636363,7,0,2,100.0,77.77777777777779,7,11,9,2.000000000000668,8
data/131,evaluated,8,0,2,100.0,80.0,8,0,3,100.0,72.72727272727273,8,0,2,100.0,80.0,8,11,10,2.000000000000668,11
data/132,evaluated,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,10,10,1.000000000000334,2
data/133,evaluated,7,0,1,100.0,87.5,7,0,3,100.0,70.0,7,0,1,100.0,87.5,7,10,8,2.000000000000668,10
data/134,evaluated,6,0,2,100.0,75.0,6,0,3,100.0,66.66666666666666,6,0,2,100.0,75.0,6,9,8,0.9999999999998899,9
data/135,evaluated,9,0,2,100.0,81.81818181818183,9,0,3,100.0,75.0,9,0,2,100.0,81.81818181818183,9,12,11,2.000000000000668,12
data/136,evaluated,13,0,1,100.0,92.85714285714286,13,0,2,100.0,86.66666666666667,13,0,1,100.0,92.85714285714286,13,15,14,2.000000000000668,15
data/137,evaluated,9,0,1,100.0,90.0,9,0,2,100.0,81.81818181818183,9,0,1,100.0,90.0,9,11,10,2.000000000000668,2
data/138,evaluated,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,10,10,1.9999999999997797,4
data/139,evaluated,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,12,12,2.000000000000668,0
data/140,evaluated,11,0,2,100.0,84.61538461538461,11,0,2,100.0,84.61538461538461,11,0,2,100.0,84.61538461538461,11,13,13,2.000000000000668,0
data/141,evaluated,8,0,2,100.0,80.0,8,0,3,100.0,72.72727272727273,8,0,2,100.0,80.0,8,11,10,2.000000000000668,11
data/142,evaluated,10,0,1,100.0,90.9090909090909,10,0,3,100.0,76.92307692307693,10,0,1,100.0,90.9090909090909,10,13,11,2.000000000000224,13
data/143,evaluated,12,0,1,100.0,92.3076923076923,12,0,2,100.0,85.71428571428571,12,0,1,100.0,92.3076923076923,12,14,13,2.000000000000668,14
data/144,evaluated,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,11,11,2.0000000000000018,0
data/145,evaluated,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,11,11,1.000000000000334,1
data/146,evaluated,8,0,1,100.0,88.88888888888889,8,0,2,100.0,80.0,8,0,1,100.0,88.88888888888889,8,10,9,1.9999999999997797,10
data/147,evaluated,8,0,1,100.0,88.88888888888889,8,0,2,100.0,80.0,8,0,1,100.0,88.88888888888889,8,10,9,2.0000000000000018,10
data/148,evaluated,10,0,1,100.0,90.9090909090909,10,0,2,100.0,83.33333333333334,10,0,1,100.0,90.9090909090909,10,12,11,1.9999999999997797,2
data/149,evaluated,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,11,11,1.9999999999997797,0
data/150,evaluated,8,0,2,100.0,80.0,8,0,3,100.0,72.72727272727273,8,0,2,100.0,80.0,8,11,10,2.0000000000000018,11
data/151,evaluated,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,12,12,2.000000000000668,0
data/152,evaluated,9,0,1,100.0,90.0,9,0,2,100.0,81.81818181818183,9,0,1,100.0,90.0,9,11,10,2.000000000000668,11
data/153,evaluated,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,10,10,1.000000000000334,0
data/154,evaluated,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,11,11,2.000000000000224,1
data/155,evaluated,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,10,10,2.000000000000668,2
data/156,evaluated,7,0,2,100.0,77.77777777777779,7,0,3,100.0,70.0,7,0,2,100.0,77.77777777777779,7,10,9,2.000000000000668,10
data/157,evaluated,7,0,2,100.0,77.77777777777779,7,0,3,100.0,70.0,7,0,2,100.0,77.77777777777779,7,10,9,2.0000000000000018,10
data/158,evaluated,8,0,2,100.0,80.0,8,0,3,100.0,72.72727272727273,8,0,2,100.0,80.0,8,11,10,1.9999999999997797,11
data/159,evaluated,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,11,11,2.000000000000668,0
data/160,evaluated,5,0,2,100.0,71.42857142857143,5,0,2,100.0,71.42857142857143,5,0,2,100.0,71.42857142857143,5,7,7,1.9999999999997797,1
data/161,evaluated,8,0,2,100.0,80.0,8,0,3,100.0,72.72727272727273,8,0,2,100.0,80.0,8,11,10,2.000000000000224,11
data/162,evaluated,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,12,12,2.000000000000668,4
data/163,evaluated,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,12,12,1.9999999999997797,1
data/164,evaluated,9,0,1,100.0,90.0,9,0,2,100.0,81.81818181818183,9,0,1,100.0,90.0,9,11,10,1.9999999999997797,11
data/165,evaluated,9,0,2,100.0,81.81818181818183,9,0,3,100.0,75.0,9,0,2,100.0,81.81818181818183,9,12,11,1.9999999999997797,12
data/166,evaluated,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,10,10,2.000000000000668,0
data/167,evaluated,9,0,2,100.0,81.81818181818183,9,0,3,100.0,75.0,9,0,2,100.0,81.81818181818183,9,12,11,2.000000000000224,12
data/168,evaluated,8,0,2,100.0,80.0,8,0,3,100.0,72.72727272727273,8,0,2,100.0,80.0,8,11,10,2.000000000000668,11
data/169,evaluated,7,0,2,100.0,77.77777777777779,7,0,2,100.0,77.77777777777779,7,0,2,100.0,77.77777777777779,7,9,9,2.000000000000224,0
data/170,evaluated,7,0,1,100.0,87.5,7,0,2,100.0,77.77777777777779,7,0,1,100.0,87.5,7,9,8,1.9999999999988916,9
data/171,evaluated,9,0,2,100.0,81.81818181818183,9,0,3,100.0,75.0,9,0,2,100.0,81.81818181818183,9,12,11,2.000000000000668,12
data/172,evaluated,7,0,2,100.0,77.77777777777779,7,0,3,100.0,70.0,7,0,2,100.0,77.77777777777779,7,10,9,1.000000000000334,10
data/173,evaluated,12,0,1,100.0,92.3076923076923,12,0,3,100.0,80.0,12,0,1,100.0,92.3076923076923,12,15,13,1.9999999999997797,15
data/174,evaluated,8,0,1,100.0,88.88888888888889,8,0,2,100.0,80.0,8,0,1,100.0,88.88888888888889,8,10,9,2.000000000000224,10
data/175,evaluated,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,11,11,2.0000000000000018,1
data/176,evaluated,8,0,2,100.0,80.0,8,0,3,100.0,72.72727272727273,8,0,2,100.0,80.0,8,11,10,2.0000000000000018,5
data/177,evaluated,11,0,1,100.0,91.66666666666666,11,0,2,100.0,84.61538461538461,11,0,1,100.0,91.66666666666666,11,13,12,2.000000000000668,13
data/178,evaluated,12,0,1,100.0,92.3076923076923,12,0,2,100.0,85.71428571428571,12,0,1,100.0,92.3076923076923,12,14,13,2.000000000000668,1
data/179,evaluated,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,10,10,2.000000000000224,2
data/180,evaluated,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,12,12,1.0000000000012221,0
data/181,evaluated,8,0,2,100.0,80.0,8,0,3,100.0,72.72727272727273,8,0,2,100.0,80.0,8,11,10,1.9999999999997797,11
data/182,evaluated,12,0,2,100.0,85.71428571428571,12,0,2,100.0,85.71428571428571,12,0,2,100.0,85.71428571428571,12,14,14,2.0000000000000018,3
